"Id","Common Name","Scientific Name","Location","Region","Latitude","Longitude","Date","Time","Comments"
"591","American Robin","Turdus migratorius","Ghent norfolk near bird sanctuary ","Region","36.872784","-76.30395","2020-05-25","17:22",""
"591","American Robin","Turdus migratorius","Ghent norfolk","Region","36.85888","-76.29151","2021-04-05","17:28",""
"591","American Robin","Turdus migratorius","Downtown norfolk va","Region","36.83922","-76.29623","2021-04-12","17:06",""
"591","American Robin","Turdus migratorius","Downtown norfolk va","Region","36.84538","-76.29304","2021-04-12","17:06",""
"591","American Robin","Turdus migratorius","Downtown norfolk va","Region","36.845406","-76.29305","2021-04-12","17:06",""
"591","American Robin","Turdus migratorius","Ghent norfolk","Region","36.85621","-76.29741","2021-05-16","07:46",""
"48","Anhinga","Anhinga anhinga","DISNEY SPRINGS","Region","28.37036","-81.51891","2021-10-12","13:10",""
"158","Bald Eagle","Haliaeetus leucocephalus","North caroline ","Region","36.538258","-76.37068","2021-04-13","18:17",""
"158","Bald Eagle","Haliaeetus leucocephalus","TJ","Region","39.530884","-75.8534","2021-04-16","14:44",""
"158","Bald Eagle","Haliaeetus leucocephalus","TJ","Region","39.532837","-75.84466","2021-04-16","14:54",""
"158","Bald Eagle","Haliaeetus leucocephalus","TJ","Region","39.530884","-75.8534","2021-04-16","14:54",""
"158","Bald Eagle","Haliaeetus leucocephalus","CAPE CANAVERAL FLORIDA ","Region","28.418762","-80.59376","2021-05-24","18:29",""
"158","Bald Eagle","Haliaeetus leucocephalus","Chimney rock","Region","35.43807","-82.2445","2021-08-08","11:02",""
"399","Barred Owl","Strix varia","Rhode island","Region","41.82003","-71.481125","2021-11-22","21:46",""
"651","Bay-breasted Warbler","Setophaga castanea","Ghent norfolk","Region","36.854637","-76.29506","2020-05-25","14:14",""
"415","Belted Kingfisher","Megaceryle alcyon","Orlando Fl","Region","28.39024","-81.483894","2021-12-06","12:25",""
"132","Black Vulture","Coragyps atratus","Virgina ","Region","37.275043","-76.70195","2021-10-04","15:29","3 of them "
"68","Black-crowned Night-Heron","Nycticorax nycticorax","Ghent norfolk on the haugue ","Region","36.85564","-76.29644","2020-06-27","20:09",""
"68","Black-crowned Night-Heron","Nycticorax nycticorax","NOAA moc a","Region","36.85371","-76.29982","2021-04-15","12:16",""
"68","Black-crowned Night-Heron","Nycticorax nycticorax","Ghent norfolk","Region","36.855354","-76.29576","2021-05-14","07:29",""
"517","Blue Jay","Cyanocitta cristata","Ghent norfolk","Region","36.853992","-76.29774","2020-05-24","12:01",""
"517","Blue Jay","Cyanocitta cristata","Ghent norfolk","Region","36.85567","-76.29621","2021-04-12","11:06",""
"634","Blue-winged Warbler","Vermivora cyanoptera","New Hampshire UNH","Region","43.134666","-70.936646","2021-07-07","18:40",""
"42","Brown Pelican","Pelecanus occidentalis","TJ","Region","36.853504","-76.29865","2021-04-15","17:05",""
"42","Brown Pelican","Pelecanus occidentalis","TJ","Region","36.853497","-76.29865","2021-04-15","17:23",""
"42","Brown Pelican","Pelecanus occidentalis","TJ","Region","36.85349","-76.29853","2021-04-15","17:23",""
"42","Brown Pelican","Pelecanus occidentalis","TJ","Region","37.256924","-76.43509","2021-04-22","14:21",""
"42","Brown Pelican","Pelecanus occidentalis","TJ","Region","36.974518","-76.40008","2021-04-30","19:48",""
"42","Brown Pelican","Pelecanus occidentalis","CAPE CANAVERAL FLORIDA ","Region","28.367777","-80.60504","2021-05-22","11:40",""
